rid,dataset_name,label_v2,text,matched_claim,rating,label_factcheck,publisher,url,score,concorda
203875918251174669,FC_BOATOS,fake,"Saca todo o dinheiro da sua conta porque Dilma vai dar um golpe de estado e sacar o dinheiro das contas na quarta-feira, dia 18",O estado tem as contas em dia”,Verdadeiro,true,lupa,https://lupa.uol.com.br/jornalismo/2022/09/26/rbs-leite-onyx,1.0,0
92512314750700377,FC_BOATOS,fake,Dilma declarou guerra ao Estado Islâmico e contra o Islã após o ataque terrorista em Paris,“Dilma terrorista”,Falso,fake,lupa,https://lupa.uol.com.br/jornalismo/2018/10/18/imagens-falsas-whatsapp-presidenciaveis-lupa-ufmg-usp,1.0,1
1040695941900279091,FC_EFARSAS,fake,A Black Friday surgiu no comércio de escravos,"Esta é a triste história e significado da #Black_Friday. Foi durante o comércio de escravos na América. Durante a sexta-feira negra, os escravos foram vendidos com desconto para impulsionar a economia",Falso,fake,boatos.org,https://www.boatos.org/mundo/black-friday-surgiu-venda-escravo-1904-estados-unidos.html,0.8,1
540823271314566016,FC_BOATOS_VIRAL,fake,"PMDB e PSDB votam pelo fim da CLT Os deputados federais goianos do PMDB, PSDB, PP, PPS, PTB, PSD e PDT votaram na noite de quarta-feira, em Brasília, pelo fim da CLT – a Consolidação das Leis do Traba",Os deputados do PT na Câmara votaram contra [o Auxílio Brasil],Falso,fake,lupa,https://lupa.uol.com.br/jornalismo/2022/10/28/horario-eleitoral-lula-e-bolsonaro,0.833,1
591962902109346723,FC_BOATOS_VIRAL,fake,Homem é diagnosticado com câncer nos olhos por algo simples que quase todos fazemos a noite Há muitos estudos científicos que indicam que a luz verde da tela do celular afeta nossa visão e que acaba p,*Maculopatia (câncer de olho) e uso móvel no escuro*,Falso,fake,boatos.org,https://www.boatos.org/saude/maculopatia-e-cancer-no-olho-causado-por-uso-de-telefone-celular-boato.html,0.8,1
1066243935028985787,FC_BOATOS_VIRAL,fake,Preso com dinheiro na mochila aparece com deputado petista em imagem e líder do MST Depois da Polícia Militar do Distrito Federal prender um homem com dinheiro na mochila e levantar suspeitas de que e,Polícia Federal na cola de João Pedro Stédile do MST,FALSO: Texto com afirmações sem base tem como origem a página de Facebook de um general da reserva do Exército que afirma desconhecer a fonte do conteúdo,fake,comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/postagem-acusa-sem-provas-mst-de-ter-relacao-com-as-queimadas-na-amazonia-e-no-pantanal/,0.833,1
663151553294013285,FC_BOATOS,fake,Hoje foi decretado o holocausto econômico brasileiro e quase ninguém ficou sabendo,Band News: *HOJE FOI DECRETADO O HOLOCAUSTO ECONÔMICO BRASILEIRO E PRATICAMENTE NINGUÉM FICOU SABENDO Estadão *MAIS DE 16 PAÍSES IRÃO PROCESSAR O BRASIL.*,Falso,fake,boatos.org,https://www.boatos.org/politica/holocausto-economico-do-brasil-foi-anunciado-hoje-e-16-paises-vao-processar-a-petrobras.html,0.889,1
986669234418588139,FC_BOATOS_VIRAL,fake,"HOJE FOI DECRETADO O “HOLOCAUSTO ECONÔMICO BRASILEIRO” E PRATICAMENTE NINGUÉM FICOU SABENDO Decisão é uma derrota para a Petrobrás, que está sendo processada nos EUA Hoje é um dia emblemático para o B","HOJE FOI DECRETADO O HOLOCAUSTO ECONÔMICO BRASILEIRO [...] Os americanos estimam que a corrupção no Brasil gerou um rombo de US$ 28 bilhões o que em reais atinge perto R$ 130 bilhões, alegam também qu",Falso,fake,lupa,https://lupa.uol.com.br/jornalismo/2024/04/16/e-falso-que-divida-da-petrobras-nos-eua-causou-holocausto-economico-no-brasil,1.0,1
175252476366344229,FC_BOATOS_VIRAL,fake,"DESSA EU NÃO SABIA, O DEPUTADO E CANTOR SÉRGIO REIS DOA TODO SEU SALÁRIO PARA O H.C DE BARRETOS Seu salário como deputado é destinado diretamente para o Hospital do Câncer de Barretos. O cartão de rec",“(...) eu sou deputado federal [eleito] com mais de 73 mil votos”,Verdadeiro,true,lupa,https://lupa.uol.com.br/jornalismo/2024/08/09/candidatos-do-rio-erram-dados-sobre-saude-e-polarizam-debate-na-band,1.0,0
144257772652903125,FC_BOATOS_VIRAL,fake,"As “propostas” de Alexandre Frota para a Educação; Fim do Ministério da Cultura, do Ministério da Educação e da Lei Rouanet. Criação do Ministério da Ciência, Educação, Cultura, Esporte e Cidadania. F",2. “Ideologia de gênero nas escolas”,Falso,fake,lupa,https://lupa.uol.com.br/jornalismo/2022/10/01/propostas-programa-governo-lula,1.0,1
456361723393091089,FC_BOATOS_VIRAL,fake,"Não esqueçam seus documentos em casa! Blitz a partir de amanhã em toda a cidade para apreender moto e carro com documento atrasado e pessoas conduzindo sem CNH, durante duas semanas ou até atingirem a",Blitz a partir de amanhã em toda a cidade para apreender moto e carro com documento atrasado e pessoas conduzindo sem CNH,Falso,fake,boatos.org,https://www.boatos.org/brasil/blitz-partir-de-amanha-apreender-moto-carro-documento-atrasado.html,1.0,1
709729644309607879,FC_BOATOS_VIRAL,fake,"Doa-se filhote de labrador, a mãe não quer alimentar os filhotes, então a doação é imediata e eles tem que ser alimentados na mamadeira! Por favor passem pra frente, é urgente a doação a dona não tá d","Doa-se filhotes de Dálmatas, a mãe não quer alimentar os filhotes, então a doação é imediata e eles tem que ser alimentados na mamadeira! Por favor passem pra frente, é urgente a doação a dona não tá ",Falso,fake,boatos.org,https://www.boatos.org/brasil/estao-doando-caes-filhotes-dalmatas-que-mae-nao-quer-alimentar.html,0.947,1
59533932199919708,FC_BOATOS_VIRAL,fake,"Novo RG: Troca do antigo Rg pela nova Identidade com Chip começa no próximo dia 17 O início da implantação do Registro de Identidade Civil (RIC), que vai cambiar a Carteira de Identidade (RG) a partir","“2,7 milhões de pessoas que não têm documentos, não têm registro de nascimento”",Verdadeiro,true,lupa,https://lupa.uol.com.br/jornalismo/2023/06/01/responsavel-pelo-bolsa-familia-wellington-dias-erra-dados-sobre-a-pobreza-no-brasil,0.8,0
859001298140560152,FC_BOATOS_VIRAL,fake,UTILIDADE PÚBLICA NOVAS REGRAS PARA O VENCIMENTO DA CARTEIRA DE HABILITACAO (REPASSE) Importante ler repassar para os amigos. COMEÇAR JÁ É METADE DE TODA A AÇÃO! DIVULGUEM!!!!!!! ATENÇÃO Vencimento Ca,NOVAS REGRAS DO DETRAN: A Carteira Nacional de Habilitação (CNH) só pode ser Renovada durante o prazo de no máximo 30 dias após o seu vencimento,Falso,fake,boatos.org,https://www.boatos.org/brasil/detran-divulga-novas-multas-valendo-hoje-regra-renovacao-cnh-30-dias.html,0.923,1
349681140372972919,FC_BOATOS_VIRAL,fake,"O governo golpista Temer anunciou jornada de 12 horas diárias para os trabalhadores em geral, o que pode corresponder a 60 ou mais horas semanais. Em relação aos professores públicos, a ideia do gover",“Hoje o maior partido na Câmara tem 50 [deputados]”,Subestimado,fake,lupa,https://lupa.uol.com.br/jornalismo/2022/07/07/rodrigo-garcia-roda-viva,0.8,1
880238257617873154,FC_BOATOS_VIRAL,fake,O ATOR MARCELO MADUREIRA PUBLICOU O QUE SEGUE SOBRE O LULA. NÃO DEIXEM DE LER E COMPARTILHAR!! “Muita gente” está pedindo: VOLTA LULA! (?) VOLTA LULA! e traga de volta as DUAS REFINARIAS que VOCÊ DOOU,"O ATOR MARCELO MADUREIRA PUBLICOU O QUE SEGUE SOBRE O LULA. NÃO DEIXEM DE LER E COMPARTILHAR!! ""Muita gente"" está pedindo: VOLTA LULA! (?) VOLTA LULA!",Falso,fake,boatos.org,https://www.boatos.org/entretenimento/marcelo-madureira-escreveu-texto-volta-lula-com-criticas-ao-ex-presidente-nas-eleicoes-de-2022.html,1.0,1
709569411460157555,FC_BOATOS,fake,Juiz Sérgio Moro escreveu uma carta ao povo brasileiro,"REFERENDO DO JUIZ SÉRGIO MORO Destinatário: Senado federal Juiz Sergio Moro manda Carta publica para o Povo Brasileiro Para fazer ""a revolução"", não precisamos pegar em armas ou acabar com a vida de n",Falso,fake,boatos.org,https://www.boatos.org/politica/sergio-moro-escreve-carta-aberta-ao-povo-brasileiro-e-pede-revolucao-boato.html,0.857,1
162761381456767888,FC_BOATOS,fake,Mergulhadores encontram imagem de Virgem Maria em Oceano Índico,"Foi encontrado no Oceano Índico, quando mergulhadores estavam procurando um avião desaparecido, uma imagem da Virgem Maria",Falso,fake,boatos.org,https://www.boatos.org/religiao/imagem-virgem-maria-encontrada-intacta-oceano-indico.html,0.857,1
547131180409474705,FC_BOATOS_VIRAL,fake,"Foi encontrado no Oceano Índico, quando mergulhadores estavam procurando um avião desaparecido: uma imagem da Virgem Maria, Aos seus pés haviam pétalas de rosas que, pela lei da gravidade, deveriam fl","Foi encontrado no Oceano Índico, quando mergulhadores estavam procurando um avião desaparecido, uma imagem da Virgem Maria",Falso,fake,boatos.org,https://www.boatos.org/religiao/imagem-virgem-maria-encontrada-intacta-oceano-indico.html,1.0,1
771318543141518676,FC_BOATOS_VIRAL,fake,CONFIRMADO PELO MEC: Universidades públicas serão extintas por todo o país; VEJA! O governo do presidente Michel Temer irá reduzir o número de vagas em universidades públicas de todo o País. A Portari,"(...) Em 2015 e 2016, governo do PT, o PIB caiu 7% no Brasil","Verdadeiro, mas...",fake,lupa,https://lupa.uol.com.br/jornalismo/2022/10/28/debate-globo-lula-bolsonaro-segundo-turno,0.8,1
246163236542801583,FC_BOATOS_VIRAL,fake,"Vejam o que o Roger escreveu hoje em jornal Diário de São Paulo Roger Moreira, vocalista do Ultraje à Rigor em Carta publicada no jornal Diário de São Paulo ”Lutei contra a ditadura, sim! Tomei borrac","Reajuste das aposentadorias. Eu só gostaria de saber qual a justificativa para o fato de o bolsa família, onde ninguém trabalha, ter o dobro do aumento dos aposentados que trabalharam a vida toda SOMO",Falso,fake,lupa,https://lupa.uol.com.br/jornalismo/2024/01/17/bolsa-familia-nao-teve-reajuste-dobrado-em-comparacao-a-aposentadoria,0.976,1
47737901660755660,FC_BOATOS_VIRAL,fake,"E aí seus fela, vou ter que falar sobre um assunto sério com vocês aí, Du não fica bravo comigo não que é um áudio, mas é o seguinte, eu tava hoje no setor de inteligência aqui onde eu trabalho e pren",O PCC deu um salve geral aí que eles pegaram uma encomenda de órgãos infantis. Então eles têm que arrumar órgãos infantis de crianças de 1 até 5 anos de idade [...] Eles estão sequestrando essas crian,Falso,fake,lupa,https://lupa.uol.com.br/jornalismo/2023/07/26/video-mostra-campanha-paquistanesa-contra-sequestro-de-criancas-nao-acao-do-pcc,0.9,1
461450706426776336,FC_BOATOS,fake,"Importante! Se você bater em uma moto ou uma moto bater em seu carro não será uma colisão de trânsito e, sim um atropelamento","DENATRAN - ESCLARECIMENTO IMPORTANTÍSSIMO IMPORTANTE LER! Se você bater em uma moto, ou uma moto bater em seu carro, não será uma simples colisão de trânsito. Você é enquadrado no art. 303, do CTB.",Falso,fake,boatos.org,https://www.boatos.org/brasil/denatran-faz-esclarecimento-em-que-diz-que-todo-acidente-com-moto-e-atropelamento-boato.html,0.889,1
827152575399134343,FC_BOATOS_VIRAL,fake,"DENATRAN – ESCLARECIMENTO IMPORTANTÍSSIMO IMPORTANTE LER! Se você bater em uma moto, ou uma moto bater em seu carro, não será uma simples colisão de trânsito. Você é enquadrado no art. 303, do CTB. En","DENATRAN - ESCLARECIMENTO IMPORTANTÍSSIMO IMPORTANTE LER! Se você bater em uma moto, ou uma moto bater em seu carro, não será uma simples colisão de trânsito. Você é enquadrado no art. 303, do CTB.",Falso,fake,boatos.org,https://www.boatos.org/brasil/denatran-faz-esclarecimento-em-que-diz-que-todo-acidente-com-moto-e-atropelamento-boato.html,1.0,1
769145741031322927,FC_BOATOS_VIRAL,fake,"As alterações na LDB saíram hoje!!! Da noite pro dia, só pra variar. Publicada a nova legislação da educação, envolvendo o ensino médio e também mudanças no fundamental. Não são mais obrigatórias: Soc","“Veja mais essa aberração do judiciário. Vamos denunciar. O cúmulo será a aprovação da Nova LEI ORGÂNICA da Magistratura Nacional (LOMAN). O projeto cria, por exemplo, auxílio-educação para filhos com",Falso,fake,lupa,https://lupa.uol.com.br/jornalismo/2023/02/13/nova-lei-magistratura-nacional-loman,1.0,1
272652732753890090,FC_BOATOS,fake,"Em mensagem urgente, Divaldo Franco avisa que o Brasil corre risco, pois os espíritos de luz não podem nos ajudar",MENSAGEM URGENTE DE DIVALDO FRANCO: “O Brasil corre risco pois os espíritos de luz estão com dificuldades para nos ajudar”. Leia agora toda a mensagem ATENÇÃO POVO BRASILEIRO,Falso,fake,boatos.org,https://www.boatos.org/religiao/divaldo-franco-divulga-mensagem-urgente-diz-brasil-corre-risco.html,0.833,1
299455515723930833,FC_BOATOS_VIRAL,fake,MENSAGEM URGENTE DE DIVALDO FRANCO: “O Brasil corre risco pois os espíritos de luz estão com dificuldades para nos ajudar”. Leia agora toda a mensagem – ATENÇÃO POVO BRASILEIRO: Preocupados com a situ,MENSAGEM URGENTE DE DIVALDO FRANCO: “O Brasil corre risco pois os espíritos de luz estão com dificuldades para nos ajudar”. Leia agora toda a mensagem ATENÇÃO POVO BRASILEIRO,Falso,fake,boatos.org,https://www.boatos.org/religiao/divaldo-franco-divulga-mensagem-urgente-diz-brasil-corre-risco.html,1.0,1
571959604881651044,FC_BOATOS_VIRAL,fake,"”Lutei contra a ditadura, sim! Tomei borrachadas, engoli gaz lacrimogênio, corri da cavalaria na Av. São João em direção à Praça Antonio Prado e à Praça da Sé. Participei das perigosas assembléias dos","Reajuste das aposentadorias. Eu só gostaria de saber qual a justificativa para o fato de o bolsa família, onde ninguém trabalha, ter o dobro do aumento dos aposentados que trabalharam a vida toda SOMO",Falso,fake,lupa,https://lupa.uol.com.br/jornalismo/2024/01/17/bolsa-familia-nao-teve-reajuste-dobrado-em-comparacao-a-aposentadoria,0.952,1
929097404832208171,FC_BOATOS,fake,Urgente! Doa-se filhotes de Dálmatas porque a mãe não quer alimentar,"Doa-se filhotes de Dálmatas, a mãe não quer alimentar os filhotes, então a doação é imediata e eles tem que ser alimentados na mamadeira! Por favor passem pra frente, é urgente a doação a dona não tá ",Falso,fake,boatos.org,https://www.boatos.org/brasil/estao-doando-caes-filhotes-dalmatas-que-mae-nao-quer-alimentar.html,0.833,1
735678651223877090,FC_BOATOS_VIRAL,fake,"NÃO ATENDA ESTE NÚMERO DE JEITO NENHUM. PASSE PARA O MAIOR NÚMERO DE PESSOAS. NÃO ATENDA LIGAÇÃO DO CELULAR DE NÚMERO: (17) 99138-6060. TODOS OS NÚMEROS QUE ESTÃO ATENDENDO, ESTÃO SENDO CLONADOS. REPA","NÃO ATENDA LIGAÇÃO DO CELULAR DE NÚMERO: (31) 99778-9305. TODOS OS NÚMEROS QUE ESTÃO ATENDENDO, ESTÃO SENDO CLONADOS.",Falso,fake,boatos.org,https://www.boatos.org/saude/telefone-31-99778-9305-clona-o-seu-celular-se-voce-atender-ligacao-boato.html,0.833,1
541039861611421563,FC_BOATOS,fake,"Por causa de atendimento ocioso e falta de pacientes, Hospital do Homem pode fechar em São Paulo","Hospital do Homem, em São Paulo, vai fechar por falta de pacientes",Falso,fake,boatos.org,https://www.boatos.org/saude/hospital-do-homem-em-sao-paulo-vai-fechar-por-falta-de-pacientes.html,1.0,1
38162309266055406,FC_BOATOS_VIRAL,fake,"Títulos dos textos: LULA AFIRMA QUE MARISA ADOECEU POR CULPA DA PRESSÃO DO POVO E DA JUSTIÇA “Marisa morreu, por culpa de Sérgio Moro”, Afirma Lula. LULA AFIRMA QUE MARISA MORREU POR CULPA DA PRESSÃO ",“O ex-presidiário Luiz Inácio Lula da Silva está internado em estado grave no hospital Sírio-Libanês”,Falso,fake,lupa,https://lupa.uol.com.br/jornalismo/2022/11/07/lula-internado-sirio,0.833,1
368121946845097504,FC_BOATOS_VIRAL,fake,#Repassando Quem souber de alguém que esteja desempregado. A Engmax Construtora vai contratar 150 profissionais para trabalhar na duplicação da rodovia BR 406 Interessados enviar curriculum para: rica,Quem souber de alguém que esteja desempregado.… A Via 040 vai contratar 170 profissionais para trabalhar na duplicação da rodovia BR 365.Interessados enviar curriculum para,Falso,fake,boatos.org,https://www.boatos.org/brasil/via-040-vagas-emprego-duplicacao-br-365.html,1.0,1
970001681448280944,FC_BOATOS_VIRAL,fake,"Gente essa matéria vale muito a pena ler. Comer fruta de estômago vazio. Isto abrirá os seus olhos! Lê a mensagem até ao fim; e depois, manda para os outros na tua lista de amigos como eu fiz contigo!","Comer fruta de estômago vazio. Isto abrirá os seus olhos! Leia a mensagem até ao fim; e depois, envie para a sua lista de amigos. Dr. Stephen Mak trata de doentes com cancer terminal de uma forma ""não",Falso,fake,lupa,https://lupa.uol.com.br/jornalismo/2023/06/23/comer-frutas-estomago-vazio-cura-cancer,0.909,1
778096469680210170,FC_BOATOS,fake,"Hoje, às 22h, Gerson Camarotti entrevista o juiz Sérgio Moro na Globo News",“O Globo de hoje!!!”,Falso,fake,lupa,https://lupa.uol.com.br/jornalismo/2018/10/18/imagens-falsas-whatsapp-presidenciaveis-lupa-ufmg-usp,1.0,1
480439806312561012,FC_BOATOS_VIRAL,fake,". Impredível. Hoje ,às 22 horas Camarotti entrevista o Juiz Moro na Globo News.Divulguem para estourar a audiência!",“O Globo de hoje!!!”,Falso,fake,lupa,https://lupa.uol.com.br/jornalismo/2018/10/18/imagens-falsas-whatsapp-presidenciaveis-lupa-ufmg-usp,1.0,1
352850048450907027,FC_BOATOS_VIRAL,fake,Quem souber de alguém que esteja desempregado. A Deloitte vai contratar 150 profissionais para trabalhar na recuperação judicial da Oi Telecomunicações e 207 Interessados enviar curriculum para: danie,Quem souber de alguém que esteja desempregado.… A Via 040 vai contratar 170 profissionais para trabalhar na duplicação da rodovia BR 365.Interessados enviar curriculum para,Falso,fake,boatos.org,https://www.boatos.org/brasil/via-040-vagas-emprego-duplicacao-br-365.html,0.846,1
1144405428599345027,FC_BOATOS_VIRAL,fake,"PRIMEIRA VEZ QUE VEJO UM GOVERNO DESTRUIR O QUE ESTÁ DANDO CERTO’, DIZ PRESIDENTE DO BIRD O presidente do Banco Mundial (Bird), Jim Yong Kim, criticou o governo de Michel Temer no programa ‘Noite Tota","""55 milhões [estão] na extrema pobreza [no Brasil]""",Exagerado,fake,lupa,https://lupa.uol.com.br/jornalismo/2023/06/01/responsavel-pelo-bolsa-familia-wellington-dias-erra-dados-sobre-a-pobreza-no-brasil,0.8,1
717645461990253072,FC_EFARSAS,fake,Medicamento Paracetamol P-500 contém o vírus Machupo,"Cuidado não tome o paracetamol que vem escrito P/500. É um novo paracetamol , muito branco e brilhante, os médicos provam que contêm vírus “Machupo”,",Falso,fake,boatos.org,https://www.boatos.org/saude/paracetamol-p-500-virus-machupo-mortal.html,0.8,1
197576243152492646,FC_BOATOS_VIRAL,fake,"PASSAGENS AÉREAS COM DESCONTOS PARA IDOSOS Assim fica mais fácil! Firmado por lei, os idosos possuem o direito de ter descontos em passagens aéreas, sendo que essa lei obriga as empresas aéreas a conc","PASSAGENS AÉREAS COM DESCONTOS PARA IDOSOS Assim fica mais fácil! Firmado por lei, os idosos possuem o direito de ter descontos em passagens aéreas",Falso,fake,boatos.org,https://www.boatos.org/brasil/passagens-aereas-vendidas-50-desconto-idosos.html,1.0,1
191884593683210596,FC_BOATOS,fake,Polícia é chamada para conter manifestação contra a reforma da Previdência em Brasília,Manifestação Brasília. 19.12.22,Falso,fake,lupa,https://lupa.uol.com.br/jornalismo/2022/12/21/aeronaves-militares-brasilia-7-de-setembro,1.0,1
544949847814071380,FC_EFARSAS,fake,mílio Odebrecht disse em depoimento que não havia propina na Ditadura,Propina da Odebrecht. Réu,Falso,fake,lupa,https://lupa.uol.com.br/jornalismo/2022/09/02/lula-pendencias-justica,1.0,1
960652185450911621,FC_BOATOS_VIRAL,fake,Aidéticos estão passando vírus HIV em medição de glicose #boato,ALERTA Pessoas vestidas de branco vão passar de casa em casa para medir a taxa Glicêmica dos moradores.. Não deixem! É um grupo de aidéticos para transmitir o vírus. A mando da baleia azul. Compartilh,Falso,fake,lupa,https://lupa.uol.com.br/jornalismo/2023/07/20/e-falso-alerta-da-pm-de-transmissao-de-hiv-por-criminosos-vestidos-de-branco,0.857,1
152712633448655428,FC_BOATOS,fake,Ex-presidente Lula foi internado no hospital Sírio-libanês,“O ex-presidiário Luiz Inácio Lula da Silva está internado em estado grave no hospital Sírio-Libanês”,Falso,fake,lupa,https://lupa.uol.com.br/jornalismo/2022/11/07/lula-internado-sirio,0.833,1
877150751860778145,FC_BOATOS,fake,A Coca-Cola está contratando 95 motoristas,Oportunidade Urgente! Estamos contratando! A COCA-COLA está com vagas para o Natal e Ano-Novo!,Falso,fake,boatos.org,https://www.boatos.org/tecnologia/coca-cola-tvagas-emprego-natal-ano-novo-whatsapp.html,0.8,1
921040066182063635,FC_BOATOS,fake,Dois sóis apareceram na fronteira dos EUA com o Canadá,"Hoje ... na fronteira entre os Estados Unidos e o Canadá, amanheceu assim: dois sóis surgiram, sendo um deles o sol real e o outro a lua. Esse fenômeno é conhecido como Moon Hunters",Falso,fake,boatos.org,https://www.boatos.org/mundo/dois-sois-fronteira-estados-unidos-canada-hoje.html,0.8,1
341731754322443495,FC_BOATOS,fake,"Alerta: a partir de amanhã, em todo o mundo, o WhatsApp, Twitter, Facebook e outros canais de comunicação serão monitorados","“A partir de amanhã, em todo o mundo, existem novas regras de comunicação, todos os governos da Europa, América do Norte e América do Sul chegaram a um acordo com a Whatsapp, Twiter, Facebook e outros",Falso,fake,lupa,https://lupa.uol.com.br/jornalismo/2023/01/10/e-falso-que-stf-autorizou-monitoramento-de-todas-as-mensagens-de-whatsapp,0.923,1
434077503816733668,FC_BOATOS,fake,Bolsonaro criou texto alertando que Temer e o BC anunciaram um aumento na gasolina e na energia elétrica a partir da próxima semana,Bolsonaro criou o Pix,Falso,fake,lupa,https://lupa.uol.com.br/jornalismo/2022/10/28/horario-eleitoral-lula-e-bolsonaro,1.0,1
371809343388281125,FC_BOATOS,fake,"Governo publicou decreto que aumenta de 27,5% para 35% a alíquota do Imposto de Renda","IMPOSTO DE RENDA - Decreto que aumenta de 27,5 para 35% , a aliquota do Imposto de Renda. - Este reajuste atinge diretamente a classe média. - Sem querer cortar gastos, o governo com sua exuberante in",Falso,fake,lupa,https://lupa.uol.com.br/jornalismo/2023/12/15/governo-nao-aumentou-aliquota-maxima-do-imposto-de-renda-de-27-5-para-35,0.857,1
881483329612203024,FC_BOATOS,fake,"Atenção! Se você pedir Uber e vier um Fiat Idea branco de placa LLJ 3180 com o motorista Adílson, cancele","Atenção: Se forem pedir Uber e vier um Fiat Idea branco, placa 3180 cujo motorista se chame Adilson, cancele a corrida. Este cara está assaltando os passageiros. Divulguem para seus amigos e familiare",Falso,fake,boatos.org,https://www.boatos.org/brasil/motorista-de-uber-que-usa-fiat-idea-assaltando-passageiros.html,0.923,1
845977500350421459,FC_BOATOS,fake,Arnaldo Jabor publica texto sobre gaúchos e diz que “o Rio Grande do Sul é como aquele filho que sai muito diferente do resto da família,"Arnaldo Jabor - Os Gaúchos O Rio Grande do Sul é como aquele filho que sai muito diferente do resto da família. A gente gosta, mas estranha. O Rio Grande do Sul entrou tarde no mapa do Brasil",Falso,fake,boatos.org,https://www.boatos.org/entretenimento/arnaldo-jabor-escreveu-texto-sobre-gauchos-rio-grande-do-sul.html,0.818,1
436393411667244695,FC_BOATOS,fake,"Por favor, compartilhe!",Um amigo que trabalha na alfândega me disse que chegou um carregamento de arroz e que não passou no regulamento de saúde porque traz um vírus que só é visto no Paquistão. O arroz é de lá e o árabe pag,Falso,fake,lupa,https://lupa.uol.com.br/jornalismo/2023/03/02/arroz-dana-virus,1.0,1
